,en,tn
210,"Cap, baseball cap",كَسْكَاتْ
211,Traditional clothes,كِسْوَةْ
212,to put a turban on one's head,كَشِّطْ
213,Scarf,كَشْكُولْ
214,Socks,كْلَاسِطْ
215,One sock,كَلْسِيطَةْ
216,put a patch on it,كُمْبِرِيسِيهَا
217,suit,كُوسْتُومْ
218,collar,كُولْ
219,overalls,كومبينازون
220,wearing,لَابِسْ
221,"fashionable person, someone who knows how to dress well",لَبَّاسْ
222,clothes,لِبَاسْ
223,"to clothe, dress",لَبِّسْ
224,"to wear, put on",لِبِسْ
225,to wear clothes,لْبِسْ حْوَايِجْ
226,clothes,لِبْسَةْ
227,working clothes,لِبْسَةْ الخِدْمَةْ
228,"exercise clothes, sportwear",لِبْسَةْ سْبُورْ
229,"party clothes, fancy clothes",لِبْسَةْ سْوَارَى
230,clothes for going out,لِبْسَةْ مْتَاعْ خَرْجَةْ
231,tongue of shoe,لْسَانْ السَبَّاطْ
232,eyeglasses,لُونَاتْ
233,frameless glasses,لُونَاتْ سُونْ كَادِرْ
234,prescription glasses,لُونَاتْ مْتَاعْ نْظَرْ
235,protective glasses/helmet,لُونَاتْ مْتَاعْ وِقَايَةْ
236,woman's swimsuit,مَايُو
237,tightened (clothes),مْحَزِّقْ
238,tight (clothes),مَحْزُوقْ
239,"glasses with thick frames, coke bottle glasses",مْرَايَاتْ قَاعْ دَبُّوزَةْ
240,prescription eyeglasses,مْرَايَاتْ نْظَرْ
241,glasses,مْرَيّاتْ
242,wearing winter clothes,مْشَتِّي
243,dark dress worn by women in the south,مَلْيَةْ
244,the latest fashion,مُوظَة لِخْرَا
245,"fashion, style",مُوضَةْ
246,moccasin,مُوكَاسَانْ
247,"to take off one's clothes, undress",نَحَّي حْوَايْجُو
248,"shoe, especially a type of sandal worn with traditional jibbas",نَعْلْ
249,to soak clothes in water,نَفَّخْ الحْوَايِجْ
250,"to shake out clothes, clean them off",نْفَضْ لَحْوَايِجْ
251,the quality of the cloth,نَوْعِيَّةْ القْمَاشْ
252,"nice clothes, good-looking outfit",هِنْدَامْ لَايَقْ
253,earring,بُوكْلْ
254,earring,بَلُّوطَة
255,outfit (clothes),أنْسُومْبِلْ
256,"balaclava, ski mask",بَالْ مَاسْكَا
257,bracelet,بْرَاسْلِي
258,to click/clack like wooden shoes or heels,بَرْتَقْ
259,funny hat,بَرْطَلَّة
260,he got all dressed up,بَرْقِشْ رُوحُو
261,traditional wool coat,بَرْنُوسْ
262,protective gear,بْرُوتَاجْ
263,cami (undershirt for women),بْرُوتَالْ
264,high boots worn with uniforms,بْرُوتْكَانْ
265,earrings,بْلَالِطْ
266,traditional men's white slippers,بَلْغَة
267,coat ,بْلُوزَة
268,"coat, jacket",بْلُوزُونْ
269,someone who wears old clothing that doesn't go together,بُوبَرْتَلَّه
270,boots,بُوتْ
271,muscle shirt,بُودِي
272,bra,بُوسْطُو
273,winter cap,بُونَا
274,pyjamas,بِيجَامَا
275,beret,بِيرِيَّة
276,"pants, trousers",پُونْتَالُونْ
277,heels (high heeled shoes),تَالُونْ
278,"to dress well, look elegant",تْأَنَّقْ
279,"she takes care of herself, dresses well",تِتِلْهَى بْرُوحْهَا
280,"it becomes her, fits her, looks good on her",تْجِي عْلِيهَا
281,"t-shirt, sweater",تْرِيكُو
282,"cap, baseball hat",كَاسْكَاتْ
283,digital watch,مُنْقَالَةْ دِجِيطَالْ
284,"dressed, wearing",مِدْرِيسِي
285,"helmet, hard hat",كَاسْكَا
286,"hoodie, shirt or coat with hood",كَابُوشْ
287,hat with wide or full brim,مَظَلَّةْ
288,sewing machine,مَكِينَةْ مْتَاعْ خْيَاطَةْ
289,shirt collar,كُولْ مْتَاعْ سُورِيَّةْ
290,sleeve (shirt),مُونْشْ
291,tight,مَحْزُوقَةْ
292,"outfit, set that goes together",كُومْبِينِزُونْ
293,sunglasses,لُونَاتْ مْتَاعْ شَمْسْ
294,"shirt, t-shirt",مَرْيُولْ
295,leggings,كَالْسُونْ
296,nice clothes,هِنْدَامْ
297,brother,أخْ
298,"polyandry, to have more than one husband",تَعَدُّدْ الأَزْوَاجْ
299,"polygamy, to have more than one wife",تَعَدُّدْ الزَّوْجَاتْ
300,"relationship, closeness",تَقَارُبْ
301,"multiplication, proliferation",تَكَاثُرْ
302,family planning,تَنْظيمْ عَايْلِي
303,to be a widow(er),تْهَجِّلْ
304,twin,تَوْأَمْ
305,twins,تْوَامَة
306,"uncle, male friend of family",تُونْتُونْ
307,to give birth to twins,جَابْتْ تْوَامَة
308,to receive an inheritance,جَاتُو وَرْثَة
309,grand father,جَدْ
310,grand mother,جَدَّة
311,ancestors,جْدُودْ
312,genealogy,جِينِيَالُوجِي
313,a family affair,حَاجَة عَايْلِيَّة
314,the love of his life,حُبْ حْيَاتُو
315,contraceptive pills,حْرَابِشْ مَنْعْ الحَمْلْ
316,someone who is jealous for his wife/daughter/sister,حَزَّارْ
317,father-in-law,حْمُو
318,mother-in-law,حْمَى
319,uncle,خَالْ
320,elder uncle,خَالْ الكْبِيرْ
321,the aunt,خَالَة
322,elder aunt,خَالَة الكْبِيرَة
323,she betrayed him with an other man,خَانِتُّو مْعَ رَاجِلْ آخِرْ
324,he betrayed her with another woman,خَانْهَا مْعَ مْرَا أخْرَى
325,bread of the family: what a family lives by,خُبْزْ العَائِلَة
326,she got custody of the children,خْذَاتْ الحَضَانَة
327,close relations,خَرْطَة
328,masturbation (slang),خَرْطَة
329,fiance,خَطِيبْ
330,fiancee,خَطِيبَة
331,he left a will before his departure or death,خَلَّا وْصِيَّة
332,brother,خُو
333,younger brother,خُو الصْغِيرْ
334,elder brother,خُو الكْبِيرْ
335,middle brother,خُو المُتْوَسِّطْ
336,brothers and sisters,خْوَاتْ
337,siblings from your mother,خْوَاتْ مِنْ الأُمْ
338,siblings from your brothers,خْوَاتْ مِنْ البُو
339,family register,دَفْتِرْ العَايْلِي
340,"the same family, same blood",دَمْ وَاحِدْ
341,"your blood/history always has an impact, you always remember/love your relatives and home",دَمْ يِجْبِدْ
342,offspring,ذِرِيَّة
343,The mother's husband,رَاجِلْ أُمْ
344,a man and his wife,رَاجِلْ وْ مَرْتُو
345,a woman's first husband,رَاجِلْهَا لُولَانِي
346,"head of the house, guardian",رَبْ العَايِلَة
347,God gave her children,رَبِّي رْزَقْهَا بِالصْغَارْ
348,his parents' curse came back on him,رْجَعْ عْلِيهْ دْعَاءْ الوَالْدِينْ
349,care for the elderly,رِعَايَةْ المُسِنِّينْ
350,marriage,زَوَاجْ
351,temporary marriage,زَوَاجْ المُتْعَة
352,illegal marriage,زَوَاجْ غَيْرْ شَرْعِي
353,marital,زَوْجِيَّة
354,"single, unmarried",سَالِيبَاتَارْ
355,family tree,شَجْرَةْ العَايْلَةْ
356,honeymoon,شَهْرْ العَسَلْ
357,someone who left a will,صَاحِبْ الوَصِيَّةْ
358,to make alimony payments,صَبْ عْلَاهَا النَّفْقَة
359,they signed a marriage license,صَحْحُّو الصداق
360,marriage contract,صْدَاقْ
361,marriage contract signing party,صْدَاقْ
362,set of gold jewelry,طَاقِمْ ذْهَبْ
363,he demanded a divorce,طَالِبْ بِالطْلَاقْ
364,illegitimate child,طِفْلْ غَيْرْ شَرْعِي
365,bastard (crass),طْفُلْ كَبُّولْ
366,divorce by mutual consent,طَلَاقْ بِالتَّرَاضِي
367,divorce claiming damages,طْلَاقْ بِالضَّرَرْ
368,to divorce,طَلِّقْ
369,to divorce for sexual reasons,طَلْقُو بِسْبَبْ الفَرْشْ
370,divorcee,طَلِيقْ
371,"fluidity or fluency of speech, to be articulate",طَلِيقْ
372,"a single man, bachelor",عَازِبْ
373,"to live alone, be single",عَاشْ وَحْدَانِي
374,family,عَايْلَةْ
375,the family of the deceased,عَايَلْةْ المَرْحُومْ
376,"a big family, powerful family, good name",عَايْلَةْ كْبِيرَةْ
377,extended family,عَايْلَة مُوَسْعَة
378,nuclear family,عَايْلَة نَوَاتِيَّة
379,to marry,عَرِّسْ
380,"large family, tribe",عَرْشْ
381,"illegal marriage, but not anti-Islamic",عُرْفِي
382,"grandmother, grandma",عْزِيزَةْ
383,Aziza,عْزِيزَةْ
384,"Dear, beloved",عْزِيزَةْ
385,"grandfather, grandpa",عْزِيزِي
386,my beloved(male),عْزِيزِي
387,to make a will,عْطَاهْ وْصِيَّةْ
388,"to ask somebody to get something, pass on message",عْطَاهْ وْصِيَّةْ
389,swear with his wife,عْطَى القَسَمْ مْعَ مَرْتُو
390,paternal uncle,عَمّْ
391,paternal aunt,عَمَّةْ
392,"the age for having children, child-bearing age",عْمُرْ مْتَاعْ جِيبَانْ صْغَارْ
393,he's at the age for marrying,عُمْرُو مْتَاعْ عِرْسْ
394,to do genealogical research,عْمَلْ بَحْثْ جِينُولُوجِي
395,he has the right to the inheritance,عَنْدُو الحَقّْ بِشْ يُورِثْ
396,anniversary,عِيدْ مِيلَادْ زَوَاجْ
397,family,فَامِيلْيَا
398,to lose one's parents,فْقِدْ وَالْدِيهْ
399,he married her by force,فَكّْهَا مِنْ دَارْ بُوهَا
400,his dear son/daughter,فَلْذِةْ كبدو
401,familial relationship,قَرَابَةْ
402,distant relationship,قَرَابَةْ بْعِيدَةْ
403,close relationship,قَرَابَةْ مُبَاشْرَةْ
404,the youngest in the family,ڨْرَيِّدْ العِشّْ
405,to divide one's property,قْسِمْ أَمْلَاكُو
406,to divide the inheritance,قِسْمُو الوَرْثَةْ
407,to stay with one's in-laws,قْعَدْ مَعَ دَارْ أَنْسَابُو
408,He wrote his will,كْتِبْ وُصِيَّةْ
409,he put the inheritance in his name,كْتِبْلُو الوَرْثَةْ بِسْمُو
410,daughter-in-law,كِنَّة
411,"sterile, infertile couple",كُوبِلْ مَيْجِبُوشْ الصّْغَارْ
412,my cousin,كُوزَانْ
413,to start a family,كَوِّنْ عَايْلَةْ
414,"illegitimate child, bastard (rude)",لَقِيطْ
415,to research one's family tree,لَوِّجْ عَلَى شَجْرِةْ العَايْلَةْ
416,engaged to or married to,مَاخِذْ
417,"mommy, mom",مَامِي
418,married,مُتْزَوِّجْ
419,Mr. and Mrs.,مَدَامْ وْ مُوسْيُو
420,she's a catch,مْرَا فُرْصَةْ
421,infertile woman,مْرَا مَا تْجِيبِشْ الصْغَارْ
422,woman who has many children,مْرَا وَلّاَدَةْ
423,wife of…,مَرْطْ
424,stepmother,مَرْطْ بَابَا
425,his first wife,مَرْطُو لُولَا
426,"his wife to be, future wife",مَرْطُو نْهَارْ آخِرْ
427,adoptive,مُسْتَبْنِي
428,beneficiary of the inheritance,مُسْتَنْفَعْ مِلْ الوَرْثَة
429,divorced,مُطَلَقْ
430,newlyweds,مَعَرْسِينْ جُدُدْ
431,"my grandmother, grandma",مَمَّاتِي
432,"contraception, birth control",مَنْعْ الحَمْلْ
433,"mom, mommy",مِيمَةْ
434,his share of the inheritance,نَابُو فِي المِيرَاثْ
435,"marrying, married to (esp regarding in-laws)",نَاسِبْ
436,Grandma,نَانَا
437,Grandma,نَانَاتِي
438,"family relations, origins, coming from a good family",نْسَبْ
439,widower,هَجَّالْ
440,she eloped with him,هَرْبِتْ مَعَاهْ
441,mother,وَالْدَة
442,hereditary,وِرَاثِي
443,"inheritance, heritage",وَرْثَة
444,to inherit,وَرْثَى
445,heir,وَرِيثْ
446,"they broke up, got divorced, it's over",وْفَى المَكْتُوبْ
447,"to block pregnancy, use contraception",وَقْفِتْ لِحْبَالَةْ
448,a woman who has a lot of kids,وَلَّادَةْ
449,my children,وْلَادِي
450,son,وِلْدْ
451,my cousin,وِلْد خَالِي
452,my nephew,وِلْدْ خُويَا
453,he became an orphan,وَلَّى يْتِيمْ
454,"guardian, father",وْلِيْ
455,orphan,يْتِيمَةْ
456,"to gather one's children, get them all together",إلِمْ وْلَادُو
457,single mother,أمْ عَازْبَة
458,"to live together, spend life together, be a life partner",تعاشر
459,to adopt,إستبنى
460,daddy,بَابِي
461,abortion,إِجْهَاضْ
462,"family, kin",أَهْلْ
463,"full name, including father's, grandfather's and great grandfather's name",إسْمْ عَلْ الرَّابَعْ
464,"he is still single, still hasn't settled down",بْقَى كِي العَتْرُوسْ
465,is he related to you?,إكُونْشْ
466,father,بو
467,from the family of,بني
468,"daddy, pops",پَاپَا
469,to gather the family together,إلِمْ الفَامِيلْيَا
470,"relatives, in-laws",أنساب
471,of or relating to the father,أبَويَّة
472,sister,أُخْتْ
473,younger sister,أُخْتْ صْغِيرَةْ
474,older sister,أُخْتْ لِكْبِيرَة
475,widow,أرْمْلَة
476,family,أسْرَة
477,"name, father's name and grandfather's name",إسْمْ ثُلَاثِي
478,relatives,أقَارِبْ
479,mother,أُمْ
480,motherhood,أُمُومَة
481,"Mom, my mother",أُّمِّي
482,family/domestic neglect,إهْمَالْ عِيَالْ
483,Dad,بَابَا
484,"to remain unmarried (man) late into life, be a spinster",بَارْ
485,"older woman who hasn't married, spinster",بَايِرة
486,daughter,بِنْتْ
487,niece,بِنْتْ أُخْتْ
488,cousin (on maternal uncle's side),بِنْتْ خَالْ
489,cousin (on maternal aunt's side),بِنْتْ خَالْتِي
